validation set =  100000
--> train error =  0.2
-->  0 13800 chunk_10_50000.pkl
--> train error =  0.16
-->  0 14100 chunk_10_50000.pkl
--> train error =  0.14
-->  0 14450 chunk_10_50000.pkl
--> train error =  0.12
-->  0 14750 chunk_10_50000.pkl
--> train error =  0.16
-->  0 14850 chunk_10_50000.pkl
training @ iter =  300
--> train error =  0.28
-->  0 15500 chunk_10_50000.pkl
--> train error =  0.3
-->  0 15600 chunk_10_50000.pkl
--> train error =  0.3
-->  0 15650 chunk_10_50000.pkl
--> train error =  0.42
-->  0 15700 chunk_10_50000.pkl
--> train error =  0.3
-->  0 15750 chunk_10_50000.pkl
--> train error =  0.36
-->  0 15850 chunk_10_50000.pkl
--> train error =  0.38
-->  0 15900 chunk_10_50000.pkl
--> train error =  0.3
-->  0 15950 chunk_10_50000.pkl
--> train error =  0.38
-->  0 16000 chunk_10_50000.pkl
--> train error =  0.2
-->  0 16050 chunk_10_50000.pkl
--> train error =  0.38
-->  0 16100 chunk_10_50000.pkl
--> train error =  0.2
-->  0 16150 chunk_10_50000.pkl
--> train error =  0.18
-->  0 16300 chunk_10_50000.pkl
--> train error =  0.14
-->  0 16400 chunk_10_50000.pkl
--> train error =  0.12
-->  0 16500 chunk_10_50000.pkl
--> train error =  0.32
-->  0 16600 chunk_10_50000.pkl
--> train error =  0.12
-->  0 16850 chunk_10_50000.pkl
--> train error =  0.12
-->  0 17150 chunk_10_50000.pkl
--> train error =  0.18
-->  0 17200 chunk_10_50000.pkl
--> train error =  0.12
-->  0 17450 chunk_10_50000.pkl
--> train error =  0.12
-->  0 17800 chunk_10_50000.pkl
--> train error =  0.12
-->  0 18250 chunk_10_50000.pkl
--> train error =  0.22
-->  0 18550 chunk_10_50000.pkl
--> train error =  0.18
-->  0 18600 chunk_10_50000.pkl
--> train error =  0.14
-->  0 18750 chunk_10_50000.pkl
--> train error =  0.16
-->  0 19650 chunk_10_50000.pkl
training @ iter =  400
--> train error =  0.14
-->  0 20300 chunk_10_50000.pkl
--> train error =  0.12
-->  0 20450 chunk_10_50000.pkl
--> train error =  0.18
-->  0 20900 chunk_10_50000.pkl
--> train error =  0.14
-->  0 21050 chunk_10_50000.pkl
--> train error =  0.14
-->  0 21400 chunk_10_50000.pkl
--> train error =  0.16
-->  0 21500 chunk_10_50000.pkl
--> train error =  0.38
-->  0 21650 chunk_10_50000.pkl
--> train error =  0.22
-->  0 22050 chunk_10_50000.pkl
--> train error =  0.12
-->  0 22950 chunk_10_50000.pkl
--> train error =  0.22
-->  0 23000 chunk_10_50000.pkl
--> train error =  0.14
-->  0 23050 chunk_10_50000.pkl
--> train error =  0.18
-->  0 23150 chunk_10_50000.pkl
--> train error =  0.18
-->  0 23500 chunk_10_50000.pkl
--> train error =  0.12
-->  0 23800 chunk_10_50000.pkl
--> train error =  0.18
-->  0 23850 chunk_10_50000.pkl
--> train error =  0.16
-->  0 23950 chunk_10_50000.pkl
--> train error =  0.12
-->  0 24000 chunk_10_50000.pkl
--> train error =  0.14
-->  0 24300 chunk_10_50000.pkl
--> train error =  0.14
-->  0 24850 chunk_10_50000.pkl
training @ iter =  500
--> train error =  0.14
-->  0 25700 chunk_10_50000.pkl
--> train error =  0.14
-->  0 25750 chunk_10_50000.pkl
--> train error =  0.28
-->  0 26500 chunk_10_50000.pkl
--> train error =  0.14
-->  0 26850 chunk_10_50000.pkl
--> train error =  0.14
-->  0 26900 chunk_10_50000.pkl
--> train error =  0.18
-->  0 27500 chunk_10_50000.pkl
--> train error =  0.12
-->  0 28350 chunk_10_50000.pkl
--> train error =  0.12
-->  0 28500 chunk_10_50000.pkl
--> train error =  0.2
-->  0 28900 chunk_10_50000.pkl
--> train error =  0.18
-->  0 28950 chunk_10_50000.pkl
--> train error =  0.24
-->  0 29050 chunk_10_50000.pkl
training @ iter =  600
--> train error =  0.16
-->  0 30750 chunk_10_50000.pkl
--> train error =  0.16
-->  0 30900 chunk_10_50000.pkl
--> train error =  0.22
-->  0 30950 chunk_10_50000.pkl
--> train error =  0.24
-->  0 31200 chunk_10_50000.pkl
--> train error =  0.12
-->  0 31600 chunk_10_50000.pkl
--> train error =  0.16
-->  0 31700 chunk_10_50000.pkl
--> train error =  0.16
-->  0 32600 chunk_10_50000.pkl
--> train error =  0.12
-->  0 32750 chunk_10_50000.pkl
--> train error =  0.22
-->  0 32950 chunk_10_50000.pkl
--> train error =  0.14
-->  0 33600 chunk_10_50000.pkl
--> train error =  0.22
-->  0 34450 chunk_10_50000.pkl
--> train error =  0.2
-->  0 34750 chunk_10_50000.pkl
training @ iter =  700
--> train error =  0.16
-->  0 35200 chunk_10_50000.pkl
--> train error =  0.28
-->  0 35450 chunk_10_50000.pkl
--> train error =  0.14
-->  0 38100 chunk_10_50000.pkl
--> train error =  0.14
-->  0 38450 chunk_10_50000.pkl
--> train error =  0.16
-->  0 38600 chunk_10_50000.pkl
--> train error =  0.3
-->  0 38650 chunk_10_50000.pkl
--> train error =  0.18
-->  0 38700 chunk_10_50000.pkl
--> train error =  0.14
-->  0 38800 chunk_10_50000.pkl
training @ iter =  800
--> train error =  0.18
-->  0 40650 chunk_10_50000.pkl
--> train error =  0.14
-->  0 42100 chunk_10_50000.pkl
--> train error =  0.26
-->  0 43250 chunk_10_50000.pkl
--> train error =  0.24
-->  0 43300 chunk_10_50000.pkl
--> train error =  0.12
-->  0 43350 chunk_10_50000.pkl
--> train error =  0.22
-->  0 43850 chunk_10_50000.pkl
--> train error =  0.3
-->  0 43950 chunk_10_50000.pkl
--> train error =  0.34
-->  0 44000 chunk_10_50000.pkl
training @ iter =  900
--> train error =  0.18
-->  0 45400 chunk_10_50000.pkl
--> train error =  0.26
-->  0 46300 chunk_10_50000.pkl
--> train error =  0.12
-->  0 46350 chunk_10_50000.pkl
--> train error =  0.22
-->  0 46400 chunk_10_50000.pkl
--> train error =  0.14
-->  0 46850 chunk_10_50000.pkl
--> train error =  0.12
-->  0 47000 chunk_10_50000.pkl
--> train error =  0.28
-->  0 47700 chunk_10_50000.pkl
--> train error =  0.26
-->  0 48350 chunk_10_50000.pkl
--> train error =  0.16
-->  0 48400 chunk_10_50000.pkl
--> train error =  0.12
-->  0 48450 chunk_10_50000.pkl
--> train error =  0.12
-->  0 49300 chunk_10_50000.pkl
training @ iter =  1000
--> train error =  0.24
-->  1 750 chunk_11_50000.pkl
--> train error =  0.14
-->  1 800 chunk_11_50000.pkl
--> train error =  0.16
-->  1 1050 chunk_11_50000.pkl
training @ iter =  1100
--> train error =  0.24
-->  1 5450 chunk_11_50000.pkl
--> train error =  0.26
-->  1 5500 chunk_11_50000.pkl
--> train error =  0.12
-->  1 6500 chunk_11_50000.pkl
training @ iter =  1200
--> train error =  0.12
-->  1 10300 chunk_11_50000.pkl
--> train error =  0.12
-->  1 10350 chunk_11_50000.pkl
--> train error =  0.18
-->  1 13350 chunk_11_50000.pkl
training @ iter =  1300
--> train error =  0.12
-->  1 16250 chunk_11_50000.pkl
--> train error =  0.12
-->  1 17400 chunk_11_50000.pkl
training @ iter =  1400
--> train error =  0.16
-->  1 24200 chunk_11_50000.pkl
training @ iter =  1500
--> train error =  0.16
-->  1 26650 chunk_11_50000.pkl
--> train error =  0.12
-->  1 27500 chunk_11_50000.pkl
training @ iter =  1600
--> train error =  0.26
-->  1 32850 chunk_11_50000.pkl
training @ iter =  1700
--> train error =  0.12
-->  1 35350 chunk_11_50000.pkl
--> train error =  0.22
-->  1 39400 chunk_11_50000.pkl
--> train error =  0.12
-->  1 39450 chunk_11_50000.pkl
--> train error =  0.16
-->  1 39500 chunk_11_50000.pkl
--> train error =  0.12
-->  1 39650 chunk_11_50000.pkl
--> train error =  0.12
-->  1 39900 chunk_11_50000.pkl
training @ iter =  1800
training @ iter =  1900
iter  1999  validation
epoch 1, iter 2000, validation error 2.359000 %
epoch 1, iter 2000, train error 0.000000 %
patience =  50000 0.99 3998
FPR, FNR =  0.0345169005617 0.0127662458662
training @ iter =  2000
--> train error =  0.14
-->  2 100 chunk_12_50000.pkl
--> train error =  0.22
-->  2 3750 chunk_12_50000.pkl
--> train error =  0.18
-->  2 4200 chunk_12_50000.pkl
--> train error =  0.12
-->  2 4800 chunk_12_50000.pkl
training @ iter =  2100
--> train error =  0.12
-->  2 5000 chunk_12_50000.pkl
--> train error =  0.16
-->  2 5050 chunk_12_50000.pkl
--> train error =  0.16
-->  2 6500 chunk_12_50000.pkl
--> train error =  0.26
-->  2 6550 chunk_12_50000.pkl
--> train error =  0.12
-->  2 6600 chunk_12_50000.pkl
--> train error =  0.18
-->  2 6650 chunk_12_50000.pkl
training @ iter =  2200
--> train error =  0.12
-->  2 10700 chunk_12_50000.pkl
training @ iter =  2300
--> train error =  0.14
-->  2 18750 chunk_12_50000.pkl
training @ iter =  2400
training @ iter =  2500
training @ iter =  2600
--> train error =  0.12
-->  2 30250 chunk_12_50000.pkl
--> train error =  0.16
-->  2 34450 chunk_12_50000.pkl
--> train error =  0.24
-->  2 34850 chunk_12_50000.pkl
training @ iter =  2700
--> train error =  0.12
-->  2 36650 chunk_12_50000.pkl
training @ iter =  2800
--> train error =  0.14
-->  2 40800 chunk_12_50000.pkl
--> train error =  0.14
-->  2 43000 chunk_12_50000.pkl
--> train error =  0.12
-->  2 43650 chunk_12_50000.pkl
--> train error =  0.12
-->  2 44150 chunk_12_50000.pkl
training @ iter =  2900
training @ iter =  3000
--> train error =  0.14
-->  3 3550 chunk_13_50000.pkl
--> train error =  0.14
-->  3 3600 chunk_13_50000.pkl
training @ iter =  3100
--> train error =  0.12
-->  3 6550 chunk_13_50000.pkl
--> train error =  0.22
-->  3 6650 chunk_13_50000.pkl
training @ iter =  3200
--> train error =  0.18
-->  3 10200 chunk_13_50000.pkl
--> train error =  0.32
-->  3 10250 chunk_13_50000.pkl
--> train error =  0.22
-->  3 10300 chunk_13_50000.pkl
--> train error =  0.26
-->  3 10350 chunk_13_50000.pkl
--> train error =  0.12
-->  3 12750 chunk_13_50000.pkl
training @ iter =  3300
--> train error =  0.12
-->  3 15600 chunk_13_50000.pkl
--> train error =  0.12
-->  3 16450 chunk_13_50000.pkl
--> train error =  0.16
-->  3 18350 chunk_13_50000.pkl
--> train error =  0.36
-->  3 18400 chunk_13_50000.pkl
--> train error =  0.42
-->  3 18450 chunk_13_50000.pkl
--> train error =  0.3
-->  3 18500 chunk_13_50000.pkl
--> train error =  0.12
-->  3 18600 chunk_13_50000.pkl
--> train error =  0.22
-->  3 18900 chunk_13_50000.pkl
--> train error =  0.28
-->  3 19300 chunk_13_50000.pkl
training @ iter =  3400
--> train error =  0.18
-->  3 20250 chunk_13_50000.pkl
--> train error =  0.24
-->  3 20300 chunk_13_50000.pkl
--> train error =  0.24
-->  3 23250 chunk_13_50000.pkl
--> train error =  0.14
-->  3 23300 chunk_13_50000.pkl
--> train error =  0.26
-->  3 24250 chunk_13_50000.pkl
training @ iter =  3500
--> train error =  0.12
-->  3 26850 chunk_13_50000.pkl
--> train error =  0.16
-->  3 27500 chunk_13_50000.pkl
--> train error =  0.14
-->  3 27600 chunk_13_50000.pkl
training @ iter =  3600
--> train error =  0.14
-->  3 33450 chunk_13_50000.pkl
--> train error =  0.22
-->  3 34000 chunk_13_50000.pkl
--> train error =  0.18
-->  3 34100 chunk_13_50000.pkl
--> train error =  0.16
-->  3 34300 chunk_13_50000.pkl
--> train error =  0.2
-->  3 34400 chunk_13_50000.pkl
--> train error =  0.14
-->  3 34450 chunk_13_50000.pkl
--> train error =  0.14
-->  3 34500 chunk_13_50000.pkl
training @ iter =  3700
training @ iter =  3800
--> train error =  0.12
-->  3 42750 chunk_13_50000.pkl
training @ iter =  3900
iter  3999  validation
epoch 1, iter 4000, validation error 2.214000 %
epoch 1, iter 4000, train error 6.000000 %
patience =  50000 0.99 7998
FPR, FNR =  0.0345414560549 0.00985437041707
training @ iter =  4000
--> train error =  0.18
-->  4 0 chunk_14_50000.pkl
--> train error =  0.14
-->  4 100 chunk_14_50000.pkl
training @ iter =  4100
training @ iter =  4200
--> train error =  0.36
-->  4 14950 chunk_14_50000.pkl
training @ iter =  4300
--> train error =  0.16
-->  4 15050 chunk_14_50000.pkl
training @ iter =  4400
--> train error =  0.16
-->  4 22000 chunk_14_50000.pkl
training @ iter =  4500
--> train error =  0.12
-->  4 26500 chunk_14_50000.pkl
training @ iter =  4600
training @ iter =  4700
--> train error =  0.18
-->  4 36550 chunk_14_50000.pkl
--> train error =  0.14
-->  4 36600 chunk_14_50000.pkl
--> train error =  0.12
-->  4 37750 chunk_14_50000.pkl
--> train error =  0.2
-->  4 39850 chunk_14_50000.pkl
--> train error =  0.14
-->  4 39900 chunk_14_50000.pkl
training @ iter =  4800
--> train error =  0.12
-->  4 40000 chunk_14_50000.pkl
training @ iter =  4900
--> train error =  0.12
-->  4 45650 chunk_14_50000.pkl
--> train error =  0.12
-->  4 46200 chunk_14_50000.pkl
training @ iter =  5000
training @ iter =  5100
training @ iter =  5200
training @ iter =  5300
training @ iter =  5400
--> train error =  0.12
-->  5 20200 chunk_15_50000.pkl
--> train error =  0.12
-->  5 21150 chunk_15_50000.pkl
training @ iter =  5500
--> train error =  0.14
-->  5 25450 chunk_15_50000.pkl
training @ iter =  5600
--> train error =  0.12
-->  5 31350 chunk_15_50000.pkl
training @ iter =  5700
training @ iter =  5800
--> train error =  0.12
-->  5 40700 chunk_15_50000.pkl
training @ iter =  5900
iter  5999  validation
epoch 1, iter 6000, validation error 2.079000 %
epoch 1, iter 6000, train error 0.000000 %
patience =  50000 0.99 11998
FPR, FNR =  0.0169428583011 0.0247423419384
training @ iter =  6000
training @ iter =  6100
training @ iter =  6200
training @ iter =  6300
training @ iter =  6400
training @ iter =  6500
training @ iter =  6600
--> train error =  0.14
-->  6 30700 chunk_16_50000.pkl
training @ iter =  6700
training @ iter =  6800
--> train error =  0.12
-->  6 41000 chunk_16_50000.pkl
--> train error =  0.12
-->  6 41650 chunk_16_50000.pkl
training @ iter =  6900
training @ iter =  7000
--> train error =  0.14
-->  7 1600 chunk_17_50000.pkl
--> train error =  0.14
-->  7 3650 chunk_17_50000.pkl
training @ iter =  7100
training @ iter =  7200
training @ iter =  7300
training @ iter =  7400
training @ iter =  7500
--> train error =  0.12
-->  7 29300 chunk_17_50000.pkl
training @ iter =  7600
--> train error =  0.16
-->  7 33350 chunk_17_50000.pkl
--> train error =  0.16
-->  7 34400 chunk_17_50000.pkl
training @ iter =  7700
training @ iter =  7800
--> train error =  0.2
-->  7 44700 chunk_17_50000.pkl
training @ iter =  7900
--> train error =  0.12
-->  7 45300 chunk_17_50000.pkl
--> train error =  0.16
-->  7 47350 chunk_17_50000.pkl
--> train error =  0.12
-->  7 47500 chunk_17_50000.pkl
iter  7999  validation
epoch 1, iter 8000, validation error 1.771000 %
epoch 1, iter 8000, train error 2.000000 %
patience =  50000 0.99 15998
FPR, FNR =  0.0263611637373 0.00916619329154
training @ iter =  8000
--> train error =  0.18
-->  8 4750 chunk_18_50000.pkl
--> train error =  0.14
-->  8 4800 chunk_18_50000.pkl
training @ iter =  8100
training @ iter =  8200
training @ iter =  8300
training @ iter =  8400
training @ iter =  8500
training @ iter =  8600
--> train error =  0.14
-->  8 30300 chunk_18_50000.pkl
--> train error =  0.12
-->  8 30350 chunk_18_50000.pkl
--> train error =  0.38
-->  8 30400 chunk_18_50000.pkl
--> train error =  0.18
-->  8 30450 chunk_18_50000.pkl
--> train error =  0.12
-->  8 33600 chunk_18_50000.pkl
--> train error =  0.12
-->  8 33750 chunk_18_50000.pkl
training @ iter =  8700
training @ iter =  8800
training @ iter =  8900
training @ iter =  9000
--> train error =  0.12
-->  9 1200 chunk_19_50000.pkl
--> train error =  0.12
-->  9 3600 chunk_19_50000.pkl
training @ iter =  9100
--> train error =  0.14
-->  9 7150 chunk_19_50000.pkl
training @ iter =  9200
training @ iter =  9300
training @ iter =  9400
training @ iter =  9500
--> train error =  0.18
-->  9 26850 chunk_19_50000.pkl
--> train error =  0.14
-->  9 26900 chunk_19_50000.pkl
training @ iter =  9600
training @ iter =  9700
--> train error =  0.12
-->  9 35350 chunk_19_50000.pkl
training @ iter =  9800
training @ iter =  9900
iter  9999  validation
epoch 1, iter 10000, validation error 1.551000 %
epoch 1, iter 10000, train error 0.000000 %
patience =  50000 0.99 19998
FPR, FNR =  0.0219610642456 0.00907502872124
training @ iter =  10000
--> train error =  0.12
-->  10 350 chunk_20_50000.pkl
training @ iter =  10100
--> train error =  0.2
-->  10 9100 chunk_20_50000.pkl
--> train error =  0.28
-->  10 9150 chunk_20_50000.pkl
training @ iter =  10200
--> train error =  0.12
-->  10 12600 chunk_20_50000.pkl
training @ iter =  10300
--> train error =  0.14
-->  10 16700 chunk_20_50000.pkl
--> train error =  0.2
-->  10 16750 chunk_20_50000.pkl
--> train error =  0.12
-->  10 17850 chunk_20_50000.pkl
training @ iter =  10400
training @ iter =  10500
--> train error =  0.14
-->  10 25050 chunk_20_50000.pkl
training @ iter =  10600
training @ iter =  10700
training @ iter =  10800
training @ iter =  10900
training @ iter =  11000
training @ iter =  11100
training @ iter =  11200
--> train error =  0.12
-->  11 12200 chunk_21_50000.pkl
training @ iter =  11300
training @ iter =  11400
training @ iter =  11500
training @ iter =  11600
--> train error =  0.12
-->  11 30100 chunk_21_50000.pkl
--> train error =  0.16
-->  11 30200 chunk_21_50000.pkl
--> train error =  0.2
-->  11 33450 chunk_21_50000.pkl
--> train error =  0.16
-->  11 33500 chunk_21_50000.pkl
--> train error =  0.28
-->  11 33550 chunk_21_50000.pkl
training @ iter =  11700
training @ iter =  11800
--> train error =  0.18
-->  11 41250 chunk_21_50000.pkl
--> train error =  0.12
-->  11 41300 chunk_21_50000.pkl
--> train error =  0.16
-->  11 41400 chunk_21_50000.pkl
training @ iter =  11900
--> train error =  0.12
-->  11 48800 chunk_21_50000.pkl
iter  11999  validation
epoch 1, iter 12000, validation error 1.680000 %
epoch 1, iter 12000, train error 0.000000 %
training @ iter =  12000
--> train error =  0.12
-->  12 750 chunk_22_50000.pkl
training @ iter =  12100
training @ iter =  12200
training @ iter =  12300
training @ iter =  12400
training @ iter =  12500
training @ iter =  12600
training @ iter =  12700
training @ iter =  12800
training @ iter =  12900
--> train error =  0.12
