Couldn't import dot_parser, loading of dot files will not be possible.
nkerns =  [20 50] (2,)
--> train minibatch error =  0.12
-->  0 7200 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 7350 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 7400 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 7500 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 7850 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 8000 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 8150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8350 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 8500 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 8600 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 8650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8800 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 8950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 9200 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9350 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 9450 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9500 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9850 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 9900 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 9950 chunk_10_50000.pkl
training @ iter =  200 , cost =  0.194190561771
--> train minibatch error =  0.14
-->  0 10150 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10250 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10400 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 11400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 11650 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 11900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13300 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 13400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13800 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 14450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 14500 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 14850 chunk_10_50000.pkl
training @ iter =  300 , cost =  0.17841809988
--> train minibatch error =  0.28
-->  0 15500 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 15600 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 15650 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 15700 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 15750 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 15850 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 15900 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 16000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16050 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 16250 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16300 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 16400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 16550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 17200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17800 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 18550 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 18600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18750 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 19650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 19700 chunk_10_50000.pkl
training @ iter =  400 , cost =  0.273941904306
--> train minibatch error =  0.14
-->  0 20300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 20450 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 20850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 20900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21500 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 21650 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 21750 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 22050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 23150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 23350 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 23950 chunk_10_50000.pkl
training @ iter =  500 , cost =  0.0560079850256
--> train minibatch error =  0.12
-->  0 25450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 25800 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 26500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 26850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 28900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 28950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 29050 chunk_10_50000.pkl
training @ iter =  600 , cost =  0.153928473592
--> train minibatch error =  0.12
-->  0 30750 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 31200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 32750 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32950 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 33600 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 34450 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 34750 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 34800 chunk_10_50000.pkl
training @ iter =  700 , cost =  0.113264329731
--> train minibatch error =  0.14
-->  0 35200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 35250 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 35450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 38450 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 38600 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 38650 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 38700 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 38800 chunk_10_50000.pkl
training @ iter =  800 , cost =  0.100844688714
--> train minibatch error =  0.18
-->  0 40650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 42550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43250 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 43350 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43850 chunk_10_50000.pkl
training @ iter =  900 , cost =  0.10021033138
training @ iter =  1000 , cost =  0.0278943870217
--> train minibatch error =  0.22
-->  1 750 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 1750 chunk_11_50000.pkl
training @ iter =  1100 , cost =  0.0979969874024
--> train minibatch error =  0.46
-->  1 5450 chunk_11_50000.pkl
--> train minibatch error =  0.4
-->  1 5500 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 7950 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 9700 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 9750 chunk_11_50000.pkl
training @ iter =  1200 , cost =  0.0762540176511
--> train minibatch error =  0.18
-->  1 10150 chunk_11_50000.pkl
training @ iter =  1300 , cost =  0.0768824219704
--> train minibatch error =  0.12
-->  1 16150 chunk_11_50000.pkl
training @ iter =  1400 , cost =  0.00677894288674
--> train minibatch error =  0.14
-->  1 24200 chunk_11_50000.pkl
training @ iter =  1500 , cost =  0.0839105695486
training @ iter =  1600 , cost =  0.0287299491465
training @ iter =  1700 , cost =  0.0203176923096
--> train minibatch error =  0.14
-->  1 35350 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 35400 chunk_11_50000.pkl
--> train minibatch error =  0.48
-->  1 35450 chunk_11_50000.pkl
--> train minibatch error =  0.16
-->  1 35550 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 35600 chunk_11_50000.pkl
--> train minibatch error =  0.2
-->  1 35650 chunk_11_50000.pkl
--> train minibatch error =  0.26
-->  1 39400 chunk_11_50000.pkl
--> train minibatch error =  0.32
-->  1 39450 chunk_11_50000.pkl
--> train minibatch error =  0.3
-->  1 39500 chunk_11_50000.pkl
training @ iter =  1800 , cost =  0.0625701397657
training @ iter =  1900 , cost =  0.141725584865
iter  1999  validation
epoch 1, iter 2000, validation error 1.939000 %
epoch 1, iter 2000, train minibatch error 0.000000 %
epoch 1, iter 2000, train buffer error 1.300000 %
patience =  50000 0.99 3998
FPR, FNR =  0.0267709026579 0.0120521399919
training @ iter =  2000 , cost =  0.00871752481908
--> train minibatch error =  0.18
-->  2 3750 chunk_12_50000.pkl
training @ iter =  2100 , cost =  0.0640974119306
--> train minibatch error =  0.12
-->  2 5350 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 6450 chunk_12_50000.pkl
--> train minibatch error =  0.24
-->  2 6500 chunk_12_50000.pkl
--> train minibatch error =  0.26
-->  2 6550 chunk_12_50000.pkl
--> train minibatch error =  0.2
-->  2 6600 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 6650 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 7150 chunk_12_50000.pkl
training @ iter =  2200 , cost =  0.0336237959564
training @ iter =  2300 , cost =  0.00407574698329
--> train minibatch error =  0.12
-->  2 18750 chunk_12_50000.pkl
training @ iter =  2400 , cost =  0.106792598963
training @ iter =  2500 , cost =  0.0837527737021
--> train minibatch error =  0.12
-->  2 28550 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 28700 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 29300 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 29600 chunk_12_50000.pkl
training @ iter =  2600 , cost =  0.0684566423297
--> train minibatch error =  0.12
-->  2 33750 chunk_12_50000.pkl
--> train minibatch error =  0.18
-->  2 34850 chunk_12_50000.pkl
training @ iter =  2700 , cost =  0.110226608813
training @ iter =  2800 , cost =  0.0138036785647
--> train minibatch error =  0.16
-->  2 40800 chunk_12_50000.pkl
