Couldn't import dot_parser, loading of dot files will not be possible.
nkerns =  [20 50] (2,)
--> train minibatch error =  0.12
-->  0 7200 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 7350 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 7400 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 7500 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 7850 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 8000 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 8150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8350 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 8500 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 8600 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 8650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8800 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 8950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 9200 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9350 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 9450 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9500 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9850 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 9900 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 9950 chunk_10_50000.pkl
training @ iter =  200 , cost =  0.194190561771
--> train minibatch error =  0.14
-->  0 10150 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10250 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10400 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 11400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 11650 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 11900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13300 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 13400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13800 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 14450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 14500 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 14850 chunk_10_50000.pkl
training @ iter =  300 , cost =  0.17841809988
--> train minibatch error =  0.28
-->  0 15500 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 15600 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 15650 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 15700 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 15750 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 15850 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 15900 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 16000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16050 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 16250 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16300 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 16400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 16550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 17200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17800 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 18550 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 18600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18750 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 19650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 19700 chunk_10_50000.pkl
training @ iter =  400 , cost =  0.273941904306
--> train minibatch error =  0.14
-->  0 20300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 20450 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 20850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 20900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21500 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 21650 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 21750 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 22050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 23150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 23350 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 23950 chunk_10_50000.pkl
training @ iter =  500 , cost =  0.0560079850256
--> train minibatch error =  0.12
-->  0 25450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 25800 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 26500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 26850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 28900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 28950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 29050 chunk_10_50000.pkl
training @ iter =  600 , cost =  0.153928473592
--> train minibatch error =  0.12
-->  0 30750 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 31200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 32750 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32950 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 33600 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 34450 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 34750 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 34800 chunk_10_50000.pkl
training @ iter =  700 , cost =  0.113264329731
--> train minibatch error =  0.14
-->  0 35200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 35250 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 35450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 38450 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 38600 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 38650 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 38700 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 38800 chunk_10_50000.pkl
training @ iter =  800 , cost =  0.100844688714
--> train minibatch error =  0.18
-->  0 40650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 42550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43250 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 43350 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43850 chunk_10_50000.pkl
training @ iter =  900 , cost =  0.10021033138
training @ iter =  1000 , cost =  0.0278943870217
--> train minibatch error =  0.22
-->  1 750 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 1750 chunk_11_50000.pkl
training @ iter =  1100 , cost =  0.0979969874024
--> train minibatch error =  0.46
-->  1 5450 chunk_11_50000.pkl
--> train minibatch error =  0.4
-->  1 5500 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 7950 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 9700 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 9750 chunk_11_50000.pkl
training @ iter =  1200 , cost =  0.0762540176511
--> train minibatch error =  0.18
-->  1 10150 chunk_11_50000.pkl
training @ iter =  1300 , cost =  0.0768824219704
--> train minibatch error =  0.12
-->  1 16150 chunk_11_50000.pkl
training @ iter =  1400 , cost =  0.00677894288674
--> train minibatch error =  0.14
-->  1 24200 chunk_11_50000.pkl
training @ iter =  1500 , cost =  0.0839105695486
training @ iter =  1600 , cost =  0.0287299491465
training @ iter =  1700 , cost =  0.0203176923096
--> train minibatch error =  0.14
-->  1 35350 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 35400 chunk_11_50000.pkl
--> train minibatch error =  0.48
-->  1 35450 chunk_11_50000.pkl
--> train minibatch error =  0.16
-->  1 35550 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 35600 chunk_11_50000.pkl
--> train minibatch error =  0.2
-->  1 35650 chunk_11_50000.pkl
--> train minibatch error =  0.26
-->  1 39400 chunk_11_50000.pkl
--> train minibatch error =  0.32
-->  1 39450 chunk_11_50000.pkl
--> train minibatch error =  0.3
-->  1 39500 chunk_11_50000.pkl
training @ iter =  1800 , cost =  0.0625701397657
training @ iter =  1900 , cost =  0.141725584865
iter  1999  validation
epoch 1, iter 2000, validation error 1.939000 %
epoch 1, iter 2000, train minibatch error 0.000000 %
epoch 1, iter 2000, train buffer error 1.300000 %
patience =  50000 0.99 3998
FPR, FNR =  0.0267709026579 0.0120521399919
training @ iter =  2000 , cost =  0.00871752481908
--> train minibatch error =  0.18
-->  2 3750 chunk_12_50000.pkl
training @ iter =  2100 , cost =  0.0640974119306
--> train minibatch error =  0.12
-->  2 5350 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 6450 chunk_12_50000.pkl
--> train minibatch error =  0.24
-->  2 6500 chunk_12_50000.pkl
--> train minibatch error =  0.26
-->  2 6550 chunk_12_50000.pkl
--> train minibatch error =  0.2
-->  2 6600 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 6650 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 7150 chunk_12_50000.pkl
training @ iter =  2200 , cost =  0.0336237959564
training @ iter =  2300 , cost =  0.00407574698329
--> train minibatch error =  0.12
-->  2 18750 chunk_12_50000.pkl
training @ iter =  2400 , cost =  0.106792598963
training @ iter =  2500 , cost =  0.0837527737021
--> train minibatch error =  0.12
-->  2 28550 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 28700 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 29300 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 29600 chunk_12_50000.pkl
training @ iter =  2600 , cost =  0.0684566423297
--> train minibatch error =  0.12
-->  2 33750 chunk_12_50000.pkl
--> train minibatch error =  0.18
-->  2 34850 chunk_12_50000.pkl
training @ iter =  2700 , cost =  0.110226608813
training @ iter =  2800 , cost =  0.0138036785647
--> train minibatch error =  0.16
-->  2 40800 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 44550 chunk_12_50000.pkl
training @ iter =  2900 , cost =  0.175775870681
--> train minibatch error =  0.12
-->  2 47400 chunk_12_50000.pkl
training @ iter =  3000 , cost =  0.286086499691
--> train minibatch error =  0.14
-->  3 3550 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 3600 chunk_13_50000.pkl
training @ iter =  3100 , cost =  0.066525913775
--> train minibatch error =  0.18
-->  3 6650 chunk_13_50000.pkl
training @ iter =  3200 , cost =  0.0617428682745
--> train minibatch error =  0.14
-->  3 10200 chunk_13_50000.pkl
--> train minibatch error =  0.26
-->  3 10250 chunk_13_50000.pkl
--> train minibatch error =  0.52
-->  3 10300 chunk_13_50000.pkl
--> train minibatch error =  0.38
-->  3 10350 chunk_13_50000.pkl
training @ iter =  3300 , cost =  0.0355133041739
--> train minibatch error =  0.16
-->  3 18350 chunk_13_50000.pkl
--> train minibatch error =  0.36
-->  3 18400 chunk_13_50000.pkl
--> train minibatch error =  0.42
-->  3 18450 chunk_13_50000.pkl
--> train minibatch error =  0.46
-->  3 18500 chunk_13_50000.pkl
--> train minibatch error =  0.2
-->  3 18900 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 19300 chunk_13_50000.pkl
training @ iter =  3400 , cost =  0.0663817226887
--> train minibatch error =  0.14
-->  3 20250 chunk_13_50000.pkl
--> train minibatch error =  0.2
-->  3 20300 chunk_13_50000.pkl
--> train minibatch error =  0.14
-->  3 23150 chunk_13_50000.pkl
--> train minibatch error =  0.48
-->  3 23250 chunk_13_50000.pkl
--> train minibatch error =  0.18
-->  3 23300 chunk_13_50000.pkl
--> train minibatch error =  0.14
-->  3 23500 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 23800 chunk_13_50000.pkl
--> train minibatch error =  0.24
-->  3 24250 chunk_13_50000.pkl
training @ iter =  3500 , cost =  0.0235583893955
--> train minibatch error =  0.12
-->  3 27450 chunk_13_50000.pkl
--> train minibatch error =  0.14
-->  3 27500 chunk_13_50000.pkl
--> train minibatch error =  0.18
-->  3 27600 chunk_13_50000.pkl
training @ iter =  3600 , cost =  0.0240779835731
--> train minibatch error =  0.16
-->  3 32100 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 33450 chunk_13_50000.pkl
--> train minibatch error =  0.26
-->  3 34000 chunk_13_50000.pkl
--> train minibatch error =  0.14
-->  3 34350 chunk_13_50000.pkl
--> train minibatch error =  0.18
-->  3 34400 chunk_13_50000.pkl
--> train minibatch error =  0.14
-->  3 34500 chunk_13_50000.pkl
training @ iter =  3700 , cost =  0.0239953380078
training @ iter =  3800 , cost =  0.0260762665421
--> train minibatch error =  0.16
-->  3 42950 chunk_13_50000.pkl
training @ iter =  3900 , cost =  0.140787824988
--> train minibatch error =  0.16
-->  3 46650 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 46700 chunk_13_50000.pkl
iter  3999  validation
epoch 1, iter 4000, validation error 2.040000 %
epoch 1, iter 4000, train minibatch error 6.000000 %
epoch 1, iter 4000, train buffer error 1.500000 %
training @ iter =  4000 , cost =  0.526481926441
--> train minibatch error =  0.18
-->  4 0 chunk_14_50000.pkl
--> train minibatch error =  0.2
-->  4 100 chunk_14_50000.pkl
training @ iter =  4100 , cost =  0.0466958843172
training @ iter =  4200 , cost =  0.0169531051069
--> train minibatch error =  0.16
-->  4 10150 chunk_14_50000.pkl
--> train minibatch error =  0.36
-->  4 14950 chunk_14_50000.pkl
training @ iter =  4300 , cost =  0.250569850206
training @ iter =  4400 , cost =  0.264094203711
--> train minibatch error =  0.14
-->  4 21850 chunk_14_50000.pkl
--> train minibatch error =  0.12
-->  4 22000 chunk_14_50000.pkl
training @ iter =  4500 , cost =  0.0249531529844
--> train minibatch error =  0.2
-->  4 26500 chunk_14_50000.pkl
training @ iter =  4600 , cost =  0.0146435145289
training @ iter =  4700 , cost =  0.0138372862712
--> train minibatch error =  0.24
-->  4 36550 chunk_14_50000.pkl
--> train minibatch error =  0.18
-->  4 36600 chunk_14_50000.pkl
--> train minibatch error =  0.12
-->  4 37750 chunk_14_50000.pkl
--> train minibatch error =  0.4
-->  4 39850 chunk_14_50000.pkl
--> train minibatch error =  0.12
-->  4 39900 chunk_14_50000.pkl
training @ iter =  4800 , cost =  0.374123036861
training @ iter =  4900 , cost =  0.0122907496989
--> train minibatch error =  0.12
-->  4 45650 chunk_14_50000.pkl
--> train minibatch error =  0.12
-->  4 45850 chunk_14_50000.pkl
--> train minibatch error =  0.14
-->  4 46200 chunk_14_50000.pkl
--> train minibatch error =  0.12
-->  4 46950 chunk_14_50000.pkl
training @ iter =  5000 , cost =  0.0342241749167
training @ iter =  5100 , cost =  0.0473069287837
--> train minibatch error =  0.38
-->  5 5950 chunk_15_50000.pkl
--> train minibatch error =  0.46
-->  5 6000 chunk_15_50000.pkl
training @ iter =  5200 , cost =  0.0158916097134
training @ iter =  5300 , cost =  0.0201165061444
training @ iter =  5400 , cost =  0.0509492307901
--> train minibatch error =  0.12
-->  5 20900 chunk_15_50000.pkl
--> train minibatch error =  0.3
-->  5 23350 chunk_15_50000.pkl
--> train minibatch error =  0.5
-->  5 23450 chunk_15_50000.pkl
--> train minibatch error =  0.2
-->  5 23500 chunk_15_50000.pkl
--> train minibatch error =  0.12
-->  5 23650 chunk_15_50000.pkl
training @ iter =  5500 , cost =  0.0539343394339
training @ iter =  5600 , cost =  0.0350610874593
training @ iter =  5700 , cost =  0.0127225080505
--> train minibatch error =  0.22
-->  5 38300 chunk_15_50000.pkl
--> train minibatch error =  0.12
-->  5 38550 chunk_15_50000.pkl
training @ iter =  5800 , cost =  0.00226124655455
training @ iter =  5900 , cost =  0.0723120197654
iter  5999  validation
epoch 1, iter 6000, validation error 1.695000 %
epoch 1, iter 6000, train minibatch error 0.000000 %
epoch 1, iter 6000, train buffer error 1.800000 %
patience =  50000 0.99 11998
FPR, FNR =  0.0133570115771 0.0205677420255
training @ iter =  6000 , cost =  0.00343280052766
--> train minibatch error =  0.12
-->  6 2750 chunk_16_50000.pkl
--> train minibatch error =  0.2
-->  6 2850 chunk_16_50000.pkl
--> train minibatch error =  0.16
-->  6 2900 chunk_16_50000.pkl
training @ iter =  6100 , cost =  0.192136436701
training @ iter =  6200 , cost =  0.00584695441648
--> train minibatch error =  0.16
-->  6 10100 chunk_16_50000.pkl
--> train minibatch error =  0.12
-->  6 10200 chunk_16_50000.pkl
training @ iter =  6300 , cost =  0.136058047414
training @ iter =  6400 , cost =  0.00668743718415
training @ iter =  6500 , cost =  0.0514404550195
training @ iter =  6600 , cost =  0.00987966265529
--> train minibatch error =  0.12
-->  6 33250 chunk_16_50000.pkl
training @ iter =  6700 , cost =  0.0629483237863
training @ iter =  6800 , cost =  0.00304033909924
--> train minibatch error =  0.18
-->  6 41000 chunk_16_50000.pkl
--> train minibatch error =  0.12
-->  6 41050 chunk_16_50000.pkl
--> train minibatch error =  0.12
-->  6 41650 chunk_16_50000.pkl
training @ iter =  6900 , cost =  0.0158767551184
training @ iter =  7000 , cost =  0.0844143480062
--> train minibatch error =  0.32
-->  7 1500 chunk_17_50000.pkl
--> train minibatch error =  0.26
-->  7 1600 chunk_17_50000.pkl
--> train minibatch error =  0.14
-->  7 3650 chunk_17_50000.pkl
training @ iter =  7100 , cost =  0.050629094243
training @ iter =  7200 , cost =  0.0104383947328
training @ iter =  7300 , cost =  0.0576589144766
training @ iter =  7400 , cost =  0.108301579952
--> train minibatch error =  0.18
-->  7 21000 chunk_17_50000.pkl
training @ iter =  7500 , cost =  0.0421583168209
--> train minibatch error =  0.14
-->  7 25250 chunk_17_50000.pkl
training @ iter =  7600 , cost =  0.00449639931321
--> train minibatch error =  0.2
-->  7 33350 chunk_17_50000.pkl
--> train minibatch error =  0.14
-->  7 33450 chunk_17_50000.pkl
--> train minibatch error =  0.14
-->  7 34400 chunk_17_50000.pkl
training @ iter =  7700 , cost =  0.0355873852968
training @ iter =  7800 , cost =  0.120491333306
--> train minibatch error =  0.16
-->  7 44700 chunk_17_50000.pkl
training @ iter =  7900 , cost =  0.0122644230723
--> train minibatch error =  0.12
-->  7 47250 chunk_17_50000.pkl
--> train minibatch error =  0.18
-->  7 47350 chunk_17_50000.pkl
--> train minibatch error =  0.2
-->  7 47450 chunk_17_50000.pkl
--> train minibatch error =  0.14
-->  7 48300 chunk_17_50000.pkl
iter  7999  validation
epoch 1, iter 8000, validation error 1.524000 %
epoch 1, iter 8000, train minibatch error 0.000000 %
epoch 1, iter 8000, train buffer error 0.700000 %
patience =  50000 0.99 15998
FPR, FNR =  0.0186967689637 0.0118127350286
training @ iter =  8000 , cost =  0.00427991338074
--> train minibatch error =  0.12
-->  8 450 chunk_18_50000.pkl
--> train minibatch error =  0.2
-->  8 4750 chunk_18_50000.pkl
--> train minibatch error =  0.16
-->  8 4800 chunk_18_50000.pkl
training @ iter =  8100 , cost =  0.0902187824249
training @ iter =  8200 , cost =  0.0123550379649
training @ iter =  8300 , cost =  0.176328465343
--> train minibatch error =  0.12
-->  8 17250 chunk_18_50000.pkl
training @ iter =  8400 , cost =  0.0149070443586
--> train minibatch error =  0.12
-->  8 24700 chunk_18_50000.pkl
training @ iter =  8500 , cost =  0.0392960608006
training @ iter =  8600 , cost =  0.00376760889776
--> train minibatch error =  0.14
-->  8 30300 chunk_18_50000.pkl
--> train minibatch error =  0.5
-->  8 30400 chunk_18_50000.pkl
--> train minibatch error =  0.44
-->  8 30450 chunk_18_50000.pkl
--> train minibatch error =  0.12
-->  8 30550 chunk_18_50000.pkl
