Couldn't import dot_parser, loading of dot files will not be possible.
nkerns =  [ 16  32  32 512 512] (5,)
validation set =  100000
--> train minibatch error =  0.16
-->  0 8850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 8950 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 9000 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 9150 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 9250 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 9300 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 9350 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 9400 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9450 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 9500 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 9550 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 9650 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 9700 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 9750 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 9800 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 9850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 9900 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 9950 chunk_10_50000.pkl
training @ iter =  200 , cost =  0.293414801359
--> train minibatch error =  0.2
-->  0 10150 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 10200 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10250 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 10400 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10450 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10650 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 10700 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 10750 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 10850 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 10900 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 10950 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 11000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 11250 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 11300 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 11350 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 11650 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 11700 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 11800 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 11900 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 12000 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 12150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12200 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 12300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12400 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 12450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 12850 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 12900 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 13000 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 13050 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 13150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13250 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 13300 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 13400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 13450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13650 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 13700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13800 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 13950 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 14000 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 14050 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 14100 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 14300 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 14350 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 14450 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 14500 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 14600 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 14750 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 14850 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 14900 chunk_10_50000.pkl
training @ iter =  300 , cost =  0.400540471077
--> train minibatch error =  0.12
-->  0 15100 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 15500 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 15550 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 15600 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 15650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 16350 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 16400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 16650 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 16850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 17100 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17550 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 17800 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 17950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18550 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 18600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18750 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 19650 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 19700 chunk_10_50000.pkl
training @ iter =  400 , cost =  0.311553180218
--> train minibatch error =  0.16
-->  0 20300 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 20350 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 20900 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 21050 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 21450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21650 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 23150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 23350 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 23950 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 24650 chunk_10_50000.pkl
training @ iter =  500 , cost =  0.15700982511
--> train minibatch error =  0.12
-->  0 25450 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 26500 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 26850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 27500 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 28900 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 28950 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 29050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 29450 chunk_10_50000.pkl
training @ iter =  600 , cost =  0.205326274037
--> train minibatch error =  0.16
-->  0 30750 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 31200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 31700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32750 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 32950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 33000 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 33600 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 34450 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 34750 chunk_10_50000.pkl
training @ iter =  700 , cost =  0.120800092816
--> train minibatch error =  0.12
-->  0 35250 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 35450 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 38450 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 38600 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 38650 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 38700 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 38800 chunk_10_50000.pkl
training @ iter =  800 , cost =  0.0951392576098
--> train minibatch error =  0.2
-->  0 40650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 41100 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 43250 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 43300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 43850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 44000 chunk_10_50000.pkl
training @ iter =  900 , cost =  0.132361620665
--> train minibatch error =  0.12
-->  0 45400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 46300 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 46850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 48650 chunk_10_50000.pkl
training @ iter =  1000 , cost =  0.0149553874508
--> train minibatch error =  0.22
-->  1 750 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 1050 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 1750 chunk_11_50000.pkl
training @ iter =  1100 , cost =  0.0901234596968
--> train minibatch error =  0.3
-->  1 5450 chunk_11_50000.pkl
--> train minibatch error =  0.38
-->  1 5500 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 7950 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 9700 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 9750 chunk_11_50000.pkl
training @ iter =  1200 , cost =  0.0876201167703
--> train minibatch error =  0.2
-->  1 10150 chunk_11_50000.pkl
training @ iter =  1300 , cost =  0.0774281993508
training @ iter =  1400 , cost =  0.00464033382013
--> train minibatch error =  0.14
-->  1 21900 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 24200 chunk_11_50000.pkl
training @ iter =  1500 , cost =  0.12377807498
--> train minibatch error =  0.16
-->  1 27500 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 28650 chunk_11_50000.pkl
training @ iter =  1600 , cost =  0.0612246021628
--> train minibatch error =  0.12
-->  1 30950 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 31550 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 32850 chunk_11_50000.pkl
training @ iter =  1700 , cost =  0.0339326821268
--> train minibatch error =  0.14
-->  1 35350 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 35400 chunk_11_50000.pkl
--> train minibatch error =  0.6
-->  1 35450 chunk_11_50000.pkl
--> train minibatch error =  0.2
-->  1 35550 chunk_11_50000.pkl
--> train minibatch error =  0.24
-->  1 35600 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 35650 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 38350 chunk_11_50000.pkl
--> train minibatch error =  0.26
-->  1 39400 chunk_11_50000.pkl
--> train minibatch error =  0.22
-->  1 39450 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 39500 chunk_11_50000.pkl
--> train minibatch error =  0.28
-->  1 39650 chunk_11_50000.pkl
--> train minibatch error =  0.18
-->  1 39800 chunk_11_50000.pkl
training @ iter =  1800 , cost =  0.0621827989817
--> train minibatch error =  0.12
-->  1 40250 chunk_11_50000.pkl
training @ iter =  1900 , cost =  0.152899235487
--> train minibatch error =  0.14
-->  1 47500 chunk_11_50000.pkl
iter  1999  validation
epoch 1, iter 2000, validation error 2.437000 %
epoch 1, iter 2000, train minibatch error 0.000000 %
epoch 1, iter 2000, train buffer error 1.700000 %
patience =  50000 0.99 3998
training @ iter =  2000 , cost =  0.0358053781092
--> train minibatch error =  0.16
-->  2 50 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 100 chunk_12_50000.pkl
--> train minibatch error =  0.2
-->  2 3750 chunk_12_50000.pkl
training @ iter =  2100 , cost =  0.0423272885382
--> train minibatch error =  0.12
-->  2 6450 chunk_12_50000.pkl
--> train minibatch error =  0.24
-->  2 6500 chunk_12_50000.pkl
--> train minibatch error =  0.34
-->  2 6550 chunk_12_50000.pkl
--> train minibatch error =  0.2
-->  2 6600 chunk_12_50000.pkl
--> train minibatch error =  0.22
-->  2 6650 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 6700 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 7150 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 7200 chunk_12_50000.pkl
--> train minibatch error =  0.16
-->  2 7400 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 8150 chunk_12_50000.pkl
training @ iter =  2200 , cost =  0.0240874383599
training @ iter =  2300 , cost =  0.00604418618605
--> train minibatch error =  0.12
-->  2 18100 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 18750 chunk_12_50000.pkl
training @ iter =  2400 , cost =  0.134705886245
training @ iter =  2500 , cost =  0.127863332629
--> train minibatch error =  0.2
-->  2 26900 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 27000 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 27100 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 28300 chunk_12_50000.pkl
--> train minibatch error =  0.12
-->  2 28550 chunk_12_50000.pkl
--> train minibatch error =  0.14
-->  2 29300 chunk_12_50000.pkl
training @ iter =  2600 , cost =  0.0817602947354
--> train minibatch error =  0.16
-->  2 34850 chunk_12_50000.pkl
training @ iter =  2700 , cost =  0.122987553477
training @ iter =  2800 , cost =  0.0203471370041
--> train minibatch error =  0.2
-->  2 40800 chunk_12_50000.pkl
training @ iter =  2900 , cost =  0.167224615812
--> train minibatch error =  0.12
-->  2 47300 chunk_12_50000.pkl
training @ iter =  3000 , cost =  0.226729407907
--> train minibatch error =  0.2
-->  3 3550 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 4000 chunk_13_50000.pkl
training @ iter =  3100 , cost =  0.0534657128155
--> train minibatch error =  0.12
-->  3 6550 chunk_13_50000.pkl
--> train minibatch error =  0.28
-->  3 6650 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 6700 chunk_13_50000.pkl
training @ iter =  3200 , cost =  0.0706245154142
--> train minibatch error =  0.12
-->  3 10200 chunk_13_50000.pkl
--> train minibatch error =  0.3
-->  3 10250 chunk_13_50000.pkl
--> train minibatch error =  0.24
-->  3 10300 chunk_13_50000.pkl
--> train minibatch error =  0.24
-->  3 10350 chunk_13_50000.pkl
training @ iter =  3300 , cost =  0.0559065006673
--> train minibatch error =  0.16
-->  3 18350 chunk_13_50000.pkl
--> train minibatch error =  0.4
-->  3 18400 chunk_13_50000.pkl
--> train minibatch error =  0.42
-->  3 18450 chunk_13_50000.pkl
--> train minibatch error =  0.46
-->  3 18500 chunk_13_50000.pkl
--> train minibatch error =  0.3
-->  3 18600 chunk_13_50000.pkl
--> train minibatch error =  0.16
-->  3 18650 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 18700 chunk_13_50000.pkl
--> train minibatch error =  0.48
-->  3 18750 chunk_13_50000.pkl
--> train minibatch error =  0.4
-->  3 18800 chunk_13_50000.pkl
--> train minibatch error =  0.2
-->  3 18850 chunk_13_50000.pkl
--> train minibatch error =  0.36
-->  3 18900 chunk_13_50000.pkl
--> train minibatch error =  0.24
-->  3 19300 chunk_13_50000.pkl
training @ iter =  3400 , cost =  0.169299408793
--> train minibatch error =  0.18
-->  3 20250 chunk_13_50000.pkl
--> train minibatch error =  0.2
-->  3 20300 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 23150 chunk_13_50000.pkl
--> train minibatch error =  0.42
-->  3 23250 chunk_13_50000.pkl
--> train minibatch error =  0.28
-->  3 23300 chunk_13_50000.pkl
training @ iter =  3500 , cost =  0.0269852560014
--> train minibatch error =  0.12
-->  3 27450 chunk_13_50000.pkl
--> train minibatch error =  0.16
-->  3 27500 chunk_13_50000.pkl
--> train minibatch error =  0.14
-->  3 27600 chunk_13_50000.pkl
training @ iter =  3600 , cost =  0.0143483188003
--> train minibatch error =  0.14
-->  3 32100 chunk_13_50000.pkl
--> train minibatch error =  0.18
-->  3 33450 chunk_13_50000.pkl
--> train minibatch error =  0.26
-->  3 34000 chunk_13_50000.pkl
--> train minibatch error =  0.12
-->  3 34050 chunk_13_50000.pkl
--> train minibatch error =  0.28
