nkerns =  [20 50] (2,)
-->  0 5650 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 5700 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 5750 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 5800 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 5850 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 5900 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 5950 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 6000 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 6050 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 6100 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 6150 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 6400 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 6450 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 6500 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 6550 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 6600 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 6650 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 6700 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 6750 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 6800 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 6850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 6950 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 7100 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 7150 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 7200 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 7350 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 7400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 7450 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 7500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 7550 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 7850 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 8000 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 8050 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 8150 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 8200 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 8300 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 8350 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 8400 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 8450 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 8500 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 8550 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 8750 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 8800 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 8850 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 9150 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 9200 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 9300 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 9350 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 9400 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 9450 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 9500 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 9850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 9900 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 9950 chunk_10_50000.pkl
training @ iter =  200 , cost =  0.273106455803
--> train minibatch error =  0.12
-->  0 10000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10150 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 10200 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 10900 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 10950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 11350 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 11650 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 11900 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 11950 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 12000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12200 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 12600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 12900 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 13000 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 13050 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 13100 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13150 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 13450 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 13500 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 13700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 13800 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 13950 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 14050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 14100 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 14350 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 14400 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 14450 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 14500 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 14550 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 14750 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 14800 chunk_10_50000.pkl
training @ iter =  300 , cost =  0.243447184563
--> train minibatch error =  0.34
-->  0 15500 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 15550 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 15650 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 15700 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 15750 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 15800 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 15850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 16000 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 16100 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 16150 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 16200 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 16250 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 16300 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 16350 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 16550 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 16600 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 16650 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 16700 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 16750 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 16850 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 16900 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 16950 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 17000 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 17050 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 17100 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 17150 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 17200 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 17350 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 17400 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 17450 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 17500 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 17550 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 17600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 17800 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 17850 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 17900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18100 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 18300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 18400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18450 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 18500 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 18550 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 18600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 18700 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 18750 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 18800 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 18850 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 18900 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 19350 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 19400 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 19450 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 19500 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 19550 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 19600 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 19700 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 19750 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 19800 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 19850 chunk_10_50000.pkl
--> train minibatch error =  0.28
-->  0 19900 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 19950 chunk_10_50000.pkl
training @ iter =  400 , cost =  0.351883381605
--> train minibatch error =  0.2
-->  0 20300 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 20350 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 20400 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 20450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 20800 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 21450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21650 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 21700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 22050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 22950 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 23150 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 23250 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 23600 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 23950 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 24000 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 24750 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 24800 chunk_10_50000.pkl
training @ iter =  500 , cost =  0.153394341469
--> train minibatch error =  0.18
-->  0 25400 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 25450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 25700 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 26300 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 26400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 26650 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 26850 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 26900 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 27450 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 27500 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 28500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 28650 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 28900 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 28950 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 29050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 29100 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 29450 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 29500 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 29550 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 29600 chunk_10_50000.pkl
training @ iter =  600 , cost =  0.169106423855
--> train minibatch error =  0.2
-->  0 30750 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 30800 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 30950 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 31050 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 31100 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 31200 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 31600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 31700 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 31750 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 32050 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32150 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 32200 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 32250 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 32600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32650 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 32700 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 32750 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 32950 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 33000 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 33200 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 33600 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 33750 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 33800 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 33950 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 34300 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 34350 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 34400 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 34600 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 34750 chunk_10_50000.pkl
training @ iter =  700 , cost =  0.234252169728
--> train minibatch error =  0.2
-->  0 35200 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 35250 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 35300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 35350 chunk_10_50000.pkl
--> train minibatch error =  0.24
-->  0 35400 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 35600 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 35700 chunk_10_50000.pkl
--> train minibatch error =  0.2
-->  0 35750 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 35800 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 36250 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 36300 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 36850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 37950 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 38550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 38600 chunk_10_50000.pkl
--> train minibatch error =  0.22
-->  0 38700 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 38750 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 38800 chunk_10_50000.pkl
training @ iter =  800 , cost =  0.0938033685088
--> train minibatch error =  0.2
-->  0 40650 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 42550 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43250 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43850 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 43900 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 43950 chunk_10_50000.pkl
training @ iter =  900 , cost =  0.143228054047
--> train minibatch error =  0.12
-->  0 45300 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 46300 chunk_10_50000.pkl
--> train minibatch error =  0.14
-->  0 46850 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 47000 chunk_10_50000.pkl
--> train minibatch error =  0.18
-->  0 47500 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 47550 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 47800 chunk_10_50000.pkl
--> train minibatch error =  0.26
-->  0 47850 chunk_10_50000.pkl
--> train minibatch error =  0.12
-->  0 48750 chunk_10_50000.pkl
training @ iter =  1000 , cost =  0.0204973500222
--> train minibatch error =  0.12
-->  1 500 chunk_11_50000.pkl
--> train minibatch error =  0.26
-->  1 750 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 3900 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 4650 chunk_11_50000.pkl
training @ iter =  1100 , cost =  0.156638920307
--> train minibatch error =  0.12
-->  1 5400 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 6700 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 7950 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 9550 chunk_11_50000.pkl
--> train minibatch error =  0.18
-->  1 9700 chunk_11_50000.pkl
training @ iter =  1200 , cost =  0.110072076321
--> train minibatch error =  0.12
-->  1 10150 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 10750 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 10900 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 11250 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 13250 chunk_11_50000.pkl
--> train minibatch error =  0.22
-->  1 13700 chunk_11_50000.pkl
--> train minibatch error =  0.2
-->  1 13750 chunk_11_50000.pkl
training @ iter =  1300 , cost =  0.363384515047
--> train minibatch error =  0.16
-->  1 15000 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 15300 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 15400 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 17000 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 17050 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 18450 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 19600 chunk_11_50000.pkl
--> train minibatch error =  0.16
-->  1 19800 chunk_11_50000.pkl
training @ iter =  1400 , cost =  0.0745329335332
--> train minibatch error =  0.14
-->  1 20200 chunk_11_50000.pkl
--> train minibatch error =  0.2
-->  1 20250 chunk_11_50000.pkl
--> train minibatch error =  0.22
-->  1 20300 chunk_11_50000.pkl
--> train minibatch error =  0.16
-->  1 20400 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 21400 chunk_11_50000.pkl
--> train minibatch error =  0.16
-->  1 21900 chunk_11_50000.pkl
--> train minibatch error =  0.18
-->  1 21950 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 22850 chunk_11_50000.pkl
--> train minibatch error =  0.14
-->  1 23800 chunk_11_50000.pkl
--> train minibatch error =  0.18
-->  1 23850 chunk_11_50000.pkl
--> train minibatch error =  0.2
-->  1 24100 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 24150 chunk_11_50000.pkl
--> train minibatch error =  0.12
-->  1 24200 chunk_11_50000.pkl
training @ iter =  1500 , cost =  0.0679653286934
--> train minibatch error =  0.12
-->  1 26750 chunk_11_50000.pkl
